EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2109,0,25,Travel_Rarely,583,Sales,4,1,Marketing,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,1,0,12,3,1,80,0,5,1,4,5,2,0,3
2110,0,49,Travel_Rarely,1418,Research & Development,1,3,Technical Degree,3,Female,36,3,1,Research Scientist,1,Married,3580,10554,2,1,0,16,3,2,80,1,7,2,3,4,2,0,2
2111,0,24,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,Male,46,2,1,Laboratory Technician,4,Married,3162,10778,0,1,0,17,3,4,80,0,6,2,2,5,2,3,4
2112,0,32,Travel_Frequently,379,Sales,5,2,Life Sciences,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,1,0,14,3,4,80,1,10,3,3,10,8,5,3
2113,0,38,Travel_Rarely,395,Sales,9,3,Marketing,2,Male,98,2,1,Sales Representative,2,Married,2899,12102,0,1,0,19,3,4,80,1,3,3,3,2,2,1,2
2114,0,42,Travel_Rarely,1265,Research & Development,3,3,Life Sciences,3,Female,95,4,2,Laboratory Technician,4,Married,5231,23726,2,1,1,13,3,2,80,1,17,1,2,5,3,1,3
2115,0,31,Travel_Rarely,1222,Research & Development,11,4,Life Sciences,4,Male,48,3,1,Research Scientist,4,Married,2356,14871,3,1,1,19,3,2,80,1,8,2,3,6,4,0,2
2116,1,29,Travel_Rarely,341,Sales,1,3,Medical,2,Female,48,2,1,Sales Representative,3,Divorced,2800,23522,6,1,1,19,3,3,80,3,5,3,3,3,2,0,2
2117,0,53,Travel_Rarely,868,Sales,8,3,Marketing,1,Male,73,3,4,Sales Executive,4,Married,11836,22789,5,1,0,14,3,3,80,1,28,3,3,2,0,2,2
2118,0,35,Travel_Rarely,672,Research & Development,25,3,Technical Degree,4,Male,78,2,3,Manufacturing Director,2,Married,10903,9129,3,1,0,16,3,1,80,0,16,2,3,13,10,4,8
2119,0,37,Travel_Frequently,1231,Sales,21,2,Medical,3,Female,54,3,1,Sales Representative,4,Married,2973,21222,5,1,0,15,3,2,80,1,10,3,3,5,4,0,0
2120,0,53,Travel_Rarely,102,Research & Development,23,4,Life Sciences,4,Female,72,3,4,Research Director,4,Single,14275,20206,6,1,0,18,3,3,80,0,33,0,3,12,9,3,8
2121,0,43,Travel_Frequently,422,Research & Development,1,3,Life Sciences,4,Female,33,3,2,Healthcare Representative,4,Married,5562,21782,4,1,0,13,3,2,80,1,12,2,2,5,2,2,2
2122,0,47,Travel_Rarely,249,Sales,2,2,Marketing,3,Female,35,3,2,Sales Executive,4,Married,4537,17783,0,1,1,22,4,1,80,1,8,2,3,7,6,7,7
2123,0,37,Non-Travel,1252,Sales,19,2,Medical,1,Male,32,3,3,Sales Executive,2,Single,7642,4814,1,1,1,13,3,4,80,0,10,2,3,10,0,0,9
2124,0,50,Non-Travel,881,Research & Development,2,4,Life Sciences,1,Male,98,3,4,Manager,1,Divorced,17924,4544,1,1,0,11,3,4,80,1,31,3,3,31,6,14,7
2125,0,39,Travel_Rarely,1383,Human Resources,2,3,Life Sciences,4,Female,42,2,2,Human Resources,4,Married,5204,7790,8,1,0,11,3,3,80,2,13,2,3,5,4,0,4
2126,0,33,Travel_Rarely,1075,Human Resources,3,2,Human Resources,4,Male,57,3,1,Human Resources,2,Divorced,2277,22650,3,1,1,11,3,3,80,1,7,4,4,4,3,0,3
2127,1,32,Travel_Rarely,374,Research & Development,25,4,Life Sciences,1,Male,87,3,1,Laboratory Technician,4,Single,2795,18016,1,1,1,24,4,3,80,0,1,2,1,1,0,0,1
2128,0,29,Travel_Rarely,1086,Research & Development,7,1,Medical,1,Female,62,2,1,Laboratory Technician,4,Divorced,2532,6054,6,1,0,14,3,3,80,3,8,5,3,4,3,0,3
2129,0,44,Travel_Rarely,661,Research & Development,9,2,Life Sciences,2,Male,61,3,1,Research Scientist,1,Married,2559,7508,1,1,1,13,3,4,80,0,8,0,3,8,7,7,1
2130,0,28,Travel_Rarely,821,Sales,5,4,Medical,1,Male,98,3,2,Sales Executive,4,Single,4908,24252,1,1,0,14,3,2,80,0,4,3,3,4,2,0,2
2131,1,58,Travel_Frequently,781,Research & Development,2,1,Life Sciences,4,Male,57,2,1,Laboratory Technician,4,Divorced,2380,13384,9,1,1,14,3,4,80,1,3,3,2,1,0,0,0
2132,0,43,Travel_Rarely,177,Research & Development,8,3,Life Sciences,1,Female,55,3,2,Manufacturing Director,2,Divorced,4765,23814,4,1,0,21,4,3,80,1,4,2,4,1,0,0,0
2133,1,20,Travel_Rarely,500,Sales,2,3,Medical,3,Female,49,2,1,Sales Representative,3,Single,2044,22052,1,1,0,13,3,4,80,0,2,3,2,2,2,0,2
2134,1,21,Travel_Rarely,1427,Research & Development,18,1,Other,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,1,0,19,3,1,80,0,1,3,2,1,0,0,0
2135,0,36,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,1,1,17,3,1,80,1,17,2,2,16,8,4,11
2136,0,47,Travel_Rarely,1454,Sales,2,4,Life Sciences,4,Female,65,2,1,Sales Representative,4,Single,3294,13137,1,1,1,18,3,1,80,0,3,3,2,3,2,1,2
2137,1,22,Travel_Rarely,617,Research & Development,3,1,Life Sciences,2,Female,34,3,2,Manufacturing Director,3,Married,4171,10022,0,1,1,19,3,1,80,1,4,3,4,3,2,0,2
2138,1,41,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,4,1,1,13,3,3,80,1,10,1,2,7,7,1,0
2139,0,28,Travel_Rarely,995,Research & Development,9,3,Medical,3,Female,77,3,1,Research Scientist,3,Divorced,2377,9834,5,1,0,18,3,2,80,1,6,2,3,2,2,2,2
2140,1,39,Travel_Rarely,1122,Research & Development,6,3,Medical,4,Male,70,3,1,Laboratory Technician,1,Married,2404,4303,7,1,1,21,4,4,80,0,8,2,1,2,2,2,2
2141,0,27,Travel_Rarely,618,Research & Development,4,3,Life Sciences,2,Female,76,3,1,Research Scientist,3,Single,2318,17808,1,1,0,19,3,3,80,0,1,2,3,1,1,0,0
2142,0,34,Travel_Rarely,546,Research & Development,10,3,Life Sciences,2,Male,83,3,1,Laboratory Technician,2,Divorced,2008,6896,1,1,0,14,3,2,80,2,1,3,3,1,0,1,0
2143,0,42,Travel_Rarely,462,Sales,14,2,Medical,3,Female,68,2,2,Sales Executive,3,Single,6244,7824,7,1,0,17,3,1,80,0,10,6,3,5,4,0,3
2144,0,33,Travel_Rarely,1198,Research & Development,1,4,Other,3,Male,100,2,1,Research Scientist,1,Single,2799,3339,3,1,1,11,3,2,80,0,6,1,3,3,2,0,2
2145,0,58,Travel_Rarely,1272,Research & Development,5,3,Technical Degree,3,Female,37,2,3,Healthcare Representative,2,Divorced,10552,9255,2,1,1,13,3,4,80,1,24,3,3,6,0,0,4
2146,0,31,Travel_Rarely,154,Sales,7,4,Life Sciences,2,Male,41,2,1,Sales Representative,3,Married,2329,11737,3,1,0,15,3,2,80,0,13,2,4,7,7,5,2
2147,0,35,Travel_Rarely,1137,Research & Development,21,1,Life Sciences,4,Female,51,3,2,Healthcare Representative,4,Married,4014,19170,1,1,1,25,4,4,80,1,10,2,1,10,6,0,7
2148,0,49,Travel_Rarely,527,Research & Development,8,2,Other,1,Female,51,3,3,Laboratory Technician,2,Married,7403,22477,4,1,0,11,3,3,80,1,29,3,2,26,9,1,7
2149,0,48,Travel_Rarely,1469,Research & Development,20,4,Medical,4,Male,51,3,1,Research Scientist,3,Married,2259,5543,4,1,0,17,3,1,80,2,13,2,2,0,0,0,0
2150,0,31,Non-Travel,1188,Sales,20,2,Marketing,4,Female,45,3,2,Sales Executive,3,Married,6932,24406,1,1,0,13,3,4,80,1,9,2,2,9,8,0,0
2151,0,36,Travel_Rarely,188,Research & Development,7,4,Other,2,Male,65,3,1,Research Scientist,4,Single,4678,23293,2,1,0,18,3,3,80,0,8,6,3,6,2,0,1
2152,0,38,Travel_Rarely,1333,Research & Development,1,3,Technical Degree,4,Female,80,3,3,Research Director,1,Married,13582,16292,1,1,0,13,3,2,80,1,15,3,3,15,12,5,11
2153,0,32,Non-Travel,1184,Research & Development,1,3,Life Sciences,3,Female,70,2,1,Laboratory Technician,2,Married,2332,3974,6,1,0,20,4,3,80,0,5,3,3,3,0,0,2
2154,1,25,Travel_Rarely,867,Sales,19,2,Marketing,3,Male,36,2,1,Sales Representative,2,Married,2413,18798,1,1,1,18,3,3,80,3,1,2,3,1,0,0,0
2155,0,40,Travel_Rarely,658,Sales,10,4,Marketing,1,Male,67,2,3,Sales Executive,2,Divorced,9705,20652,2,1,0,12,3,2,80,1,11,2,2,1,0,0,0
2156,0,26,Travel_Frequently,1283,Sales,1,3,Medical,3,Male,52,2,2,Sales Executive,1,Single,4294,11148,1,1,0,12,3,2,80,0,7,2,3,7,7,0,7
2157,0,41,Travel_Rarely,263,Research & Development,6,3,Medical,4,Male,59,3,1,Laboratory Technician,1,Single,4721,3119,2,1,1,13,3,3,80,0,20,3,3,18,13,2,17
2158,0,36,Travel_Rarely,938,Research & Development,2,4,Medical,3,Male,79,3,1,Laboratory Technician,3,Single,2519,12287,4,1,0,21,4,3,80,0,16,6,3,11,8,3,9
2159,1,19,Travel_Rarely,419,Sales,21,3,Other,4,Male,37,2,1,Sales Representative,2,Single,2121,9947,1,1,1,13,3,2,80,0,1,3,4,1,0,0,0
2160,1,20,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,1,0,19,3,2,80,0,1,2,3,1,0,0,0
2161,0,31,Travel_Rarely,616,Research & Development,12,3,Medical,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,1,1,11,3,3,80,2,10,2,1,9,7,8,5
2162,0,40,Travel_Frequently,1469,Research & Development,9,4,Medical,4,Male,35,3,1,Research Scientist,2,Divorced,3617,25063,8,1,1,14,3,4,80,1,3,2,3,1,1,0,0
2163,0,32,Travel_Rarely,498,Research & Development,3,4,Medical,3,Female,93,3,2,Manufacturing Director,1,Married,6725,13554,1,1,0,12,3,3,80,1,8,2,4,8,7,6,3
2164,1,36,Travel_Rarely,530,Sales,3,1,Life Sciences,3,Male,51,2,3,Sales Executive,4,Married,10325,5518,1,1,1,11,3,1,80,1,16,6,3,16,7,3,7
2165,0,33,Travel_Rarely,1069,Research & Development,1,3,Life Sciences,2,Female,42,2,2,Healthcare Representative,4,Single,6949,12291,0,1,0,14,3,1,80,0,6,3,3,5,0,1,4
2166,1,37,Travel_Rarely,625,Sales,1,4,Life Sciences,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,1,0,11,3,3,80,0,17,2,1,14,1,11,7
2167,0,45,Non-Travel,805,Research & Development,4,2,Life Sciences,3,Male,57,3,2,Laboratory Technician,2,Married,4447,23163,1,1,0,12,3,2,80,0,9,5,2,9,7,0,8
2168,0,29,Travel_Frequently,1404,Sales,20,3,Technical Degree,3,Female,84,3,1,Sales Representative,4,Married,2157,18203,1,1,0,15,3,2,80,1,3,5,3,3,1,0,2
2169,0,35,Travel_Rarely,1219,Sales,18,3,Medical,3,Female,86,3,2,Sales Executive,3,Married,4601,6179,1,1,0,16,3,2,80,0,5,3,3,5,2,1,0
2170,0,52,Travel_Rarely,1053,Research & Development,1,2,Life Sciences,4,Male,70,3,4,Manager,4,Married,17099,13829,2,1,0,15,3,2,80,1,26,2,2,9,8,7,8
2171,1,58,Travel_Rarely,289,Research & Development,2,3,Technical Degree,4,Male,51,3,1,Research Scientist,3,Single,2479,26227,4,1,0,24,4,1,80,0,7,4,3,1,0,0,0
2172,0,53,Travel_Rarely,1376,Sales,2,2,Medical,3,Male,45,3,4,Manager,3,Divorced,14852,13938,6,1,0,13,3,3,80,1,22,3,4,17,13,15,2
2173,0,30,Travel_Rarely,231,Sales,8,2,Other,3,Male,62,3,3,Sales Executive,3,Divorced,7264,9977,5,1,0,11,3,1,80,1,10,2,4,8,4,7,7
2174,0,38,Non-Travel,152,Sales,10,3,Technical Degree,3,Female,85,3,2,Sales Executive,4,Single,5666,19899,1,1,1,13,3,2,80,0,6,1,3,5,3,1,3
2175,0,35,Travel_Rarely,882,Sales,3,4,Life Sciences,4,Male,92,3,3,Sales Executive,4,Divorced,7823,6812,6,1,0,13,3,2,80,1,12,2,3,10,9,0,8
2176,0,39,Travel_Rarely,903,Sales,2,5,Life Sciences,1,Male,41,4,3,Sales Executive,3,Single,7880,2560,0,1,0,18,3,4,80,0,9,3,3,8,7,0,7
2177,1,40,Non-Travel,1479,Sales,24,3,Life Sciences,2,Female,100,4,4,Sales Executive,2,Single,13194,17071,4,1,1,16,3,4,80,0,22,2,2,1,0,0,0
2178,0,47,Travel_Frequently,1379,Research & Development,16,4,Medical,3,Male,64,4,2,Manufacturing Director,3,Divorced,5067,6759,1,1,1,19,3,3,80,0,20,3,4,19,10,2,7
2179,0,36,Non-Travel,1229,Sales,8,4,Technical Degree,1,Male,84,3,2,Sales Executive,4,Divorced,5079,25952,4,1,0,13,3,4,80,2,12,3,3,7,7,0,7
2180,1,31,Non-Travel,335,Research & Development,9,2,Medical,3,Male,46,2,1,Research Scientist,1,Single,2321,10322,0,1,1,22,4,1,80,0,4,0,3,3,2,1,2
2181,0,33,Non-Travel,722,Sales,17,3,Life Sciences,4,Male,38,3,4,Manager,3,Single,17444,20489,1,1,0,11,3,4,80,0,10,2,3,10,8,6,0
2182,1,29,Travel_Rarely,906,Research & Development,10,3,Life Sciences,4,Female,92,2,1,Research Scientist,1,Single,2404,11479,6,1,1,20,4,3,80,0,3,5,3,0,0,0,0
2183,0,33,Travel_Rarely,461,Research & Development,13,1,Life Sciences,2,Female,53,3,1,Research Scientist,4,Single,3452,17241,3,1,0,18,3,1,80,0,5,4,3,3,2,0,2
2184,0,45,Travel_Rarely,974,Research & Development,1,4,Medical,4,Female,91,3,1,Laboratory Technician,4,Divorced,2270,11005,3,1,0,14,3,4,80,2,8,2,3,5,3,0,2
2185,0,50,Travel_Rarely,1126,Research & Development,1,2,Medical,4,Male,66,3,4,Research Director,4,Divorced,17399,6615,9,1,0,22,4,3,80,1,32,1,2,5,4,1,3
2186,0,33,Travel_Frequently,827,Research & Development,1,4,Other,3,Female,84,4,2,Healthcare Representative,2,Married,5488,20161,1,1,1,13,3,1,80,1,6,2,3,6,5,1,2
2187,0,41,Travel_Frequently,840,Research & Development,9,3,Medical,1,Male,64,3,5,Research Director,3,Divorced,19419,3735,2,1,0,17,3,2,80,1,21,2,4,18,16,0,11
2188,0,27,Travel_Rarely,1134,Research & Development,16,4,Technical Degree,3,Female,37,3,1,Laboratory Technician,2,Married,2811,12086,9,1,0,14,3,2,80,1,4,2,3,2,2,2,2
2189,0,45,Non-Travel,248,Research & Development,23,2,Life Sciences,4,Male,42,3,2,Laboratory Technician,1,Married,3633,14039,1,1,1,15,3,3,80,1,9,2,3,9,8,0,8
2190,0,47,Travel_Rarely,955,Sales,4,2,Life Sciences,4,Female,83,3,2,Sales Executive,4,Single,4163,8571,1,1,1,17,3,3,80,0,9,0,3,9,0,0,7
2191,1,30,Travel_Rarely,138,Research & Development,22,3,Life Sciences,1,Female,48,3,1,Research Scientist,3,Married,2132,11539,4,1,1,11,3,2,80,0,7,2,3,5,2,0,1
2192,0,50,Travel_Rarely,939,Research & Development,24,3,Life Sciences,4,Male,95,3,4,Manufacturing Director,3,Married,13973,4161,3,1,1,18,3,4,80,1,22,2,3,12,11,1,5
2193,0,38,Travel_Frequently,1391,Research & Development,10,1,Medical,3,Male,66,3,1,Research Scientist,3,Married,2684,12127,0,1,0,17,3,2,80,1,3,0,2,2,1,0,2
2194,0,46,Travel_Rarely,566,Research & Development,7,2,Medical,4,Male,75,3,3,Manufacturing Director,3,Divorced,10845,24208,6,1,0,13,3,2,80,1,13,3,3,8,7,0,7
2195,0,24,Travel_Rarely,1206,Research & Development,17,1,Medical,4,Female,41,2,2,Manufacturing Director,3,Divorced,4377,24117,1,1,0,15,3,2,80,2,5,6,3,4,2,3,2
2196,1,35,Travel_Rarely,622,Research & Development,14,4,Other,3,Male,39,2,1,Laboratory Technician,2,Divorced,3743,10074,1,1,1,24,4,4,80,1,5,2,1,4,2,0,2
2197,0,31,Travel_Frequently,853,Research & Development,1,1,Life Sciences,3,Female,96,3,2,Manufacturing Director,1,Married,4148,11275,1,1,0,12,3,3,80,1,4,1,3,4,3,0,3
2198,0,18,Non-Travel,287,Research & Development,5,2,Life Sciences,2,Male,73,3,1,Research Scientist,4,Single,1051,13493,1,1,0,15,3,4,80,0,0,2,3,0,0,0,0
2199,0,54,Travel_Rarely,1441,Research & Development,17,3,Technical Degree,3,Female,56,3,3,Manufacturing Director,3,Married,10739,13943,8,1,0,11,3,3,80,1,22,2,3,10,7,0,8
2200,0,35,Travel_Rarely,583,Research & Development,25,4,Medical,3,Female,57,3,3,Healthcare Representative,3,Divorced,10388,6975,1,1,1,11,3,3,80,1,16,3,2,16,10,10,1
2201,0,30,Travel_Rarely,153,Research & Development,8,2,Life Sciences,2,Female,73,4,3,Research Director,1,Married,11416,17802,0,1,1,12,3,3,80,3,9,4,2,8,7,1,7
2202,1,20,Travel_Rarely,1097,Research & Development,11,3,Medical,4,Female,98,2,1,Research Scientist,1,Single,2600,18275,1,1,1,15,3,1,80,0,1,2,3,1,0,0,0
2203,1,30,Travel_Frequently,109,Research & Development,5,3,Medical,2,Female,60,3,1,Laboratory Technician,2,Single,2422,25725,0,1,0,17,3,1,80,0,4,3,3,3,2,1,2
2204,0,26,Travel_Rarely,1066,Research & Development,2,2,Medical,4,Male,32,4,2,Manufacturing Director,4,Married,5472,3334,1,1,0,12,3,2,80,0,8,2,3,8,7,1,3
2205,0,22,Travel_Rarely,217,Research & Development,8,1,Life Sciences,2,Male,94,1,1,Laboratory Technician,1,Married,2451,6881,1,1,0,15,3,1,80,1,4,3,2,4,3,1,1
2206,0,48,Travel_Rarely,277,Research & Development,6,3,Life Sciences,1,Male,97,2,2,Healthcare Representative,3,Single,4240,13119,2,1,0,13,3,4,80,0,19,0,3,2,2,2,2
2207,0,48,Travel_Rarely,1355,Research & Development,4,4,Life Sciences,3,Male,78,2,3,Healthcare Representative,3,Single,10999,22245,7,1,0,14,3,2,80,0,27,3,3,15,11,4,8
2208,0,41,Travel_Rarely,549,Research & Development,7,2,Medical,4,Female,42,3,2,Manufacturing Director,3,Single,5003,23371,6,1,0,14,3,2,80,0,8,6,3,2,2,2,1
2209,0,39,Travel_Rarely,466,Research & Development,1,1,Life Sciences,4,Female,65,2,4,Manufacturing Director,4,Married,12742,7060,1,1,0,16,3,3,80,1,21,3,3,21,6,11,8
2210,0,27,Travel_Rarely,1055,Research & Development,2,4,Life Sciences,1,Female,47,3,2,Manufacturing Director,4,Married,4227,4658,0,1,0,18,3,2,80,1,4,2,3,3,2,2,2
2211,0,35,Travel_Rarely,802,Research & Development,10,3,Other,2,Male,45,3,1,Laboratory Technician,4,Divorced,3917,9541,1,1,0,20,4,1,80,1,3,4,2,3,2,1,2
2212,0,42,Travel_Rarely,265,Sales,5,2,Marketing,4,Male,90,3,5,Manager,3,Married,18303,7770,6,1,0,13,3,2,80,0,21,3,4,1,0,0,0
2213,0,50,Travel_Rarely,804,Research & Development,9,3,Life Sciences,1,Male,64,3,1,Laboratory Technician,4,Married,2380,20165,4,1,0,18,3,2,80,0,8,5,3,1,0,0,0
2214,0,59,Travel_Rarely,715,Research & Development,2,3,Life Sciences,3,Female,69,2,4,Manufacturing Director,4,Single,13726,21829,3,1,1,13,3,1,80,0,30,4,3,5,3,4,3
2215,1,37,Travel_Rarely,1141,Research & Development,11,2,Medical,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,1,0,15,3,1,80,0,15,2,1,1,0,0,0
2216,0,55,Travel_Frequently,135,Research & Development,18,4,Medical,3,Male,62,3,2,Healthcare Representative,2,Married,6385,12992,3,1,1,14,3,4,80,2,17,3,3,8,7,6,7
2217,0,41,Non-Travel,247,Research & Development,7,1,Life Sciences,2,Female,55,1,5,Research Director,3,Divorced,19973,20284,1,1,0,22,4,2,80,2,21,3,3,21,16,5,10
2218,0,38,Travel_Rarely,1035,Sales,3,4,Life Sciences,2,Male,42,3,2,Sales Executive,4,Single,6861,4981,8,1,1,12,3,3,80,0,19,1,3,1,0,0,0
2219,1,26,Non-Travel,265,Sales,29,2,Medical,2,Male,79,1,2,Sales Executive,1,Single,4969,21813,8,1,0,18,3,4,80,0,7,6,3,2,2,2,2
2220,1,52,Travel_Rarely,266,Sales,2,1,Marketing,1,Female,57,1,5,Manager,4,Married,19845,25846,1,1,0,15,3,4,80,1,33,3,3,32,14,6,9
2221,0,44,Travel_Rarely,1448,Sales,28,3,Medical,4,Female,53,4,4,Sales Executive,4,Married,13320,11737,3,1,1,18,3,3,80,1,23,2,3,12,11,11,11
2222,0,50,Non-Travel,145,Sales,1,3,Life Sciences,4,Female,95,3,2,Sales Executive,3,Married,6347,24920,0,1,0,12,3,1,80,1,19,3,3,18,7,0,13
2223,1,36,Travel_Rarely,885,Research & Development,16,4,Life Sciences,3,Female,43,4,1,Laboratory Technician,1,Single,2743,8269,1,1,0,16,3,3,80,0,18,1,3,17,13,15,14
2224,0,39,Travel_Frequently,945,Research & Development,22,3,Medical,4,Female,82,3,3,Manufacturing Director,1,Single,10880,5083,1,1,1,13,3,3,80,0,21,2,3,21,6,2,8
2225,0,33,Non-Travel,1038,Sales,8,1,Life Sciences,2,Female,88,2,1,Sales Representative,4,Single,2342,21437,0,1,0,19,3,4,80,0,3,2,2,2,2,2,2
2226,0,45,Travel_Rarely,1234,Sales,11,2,Life Sciences,4,Female,90,3,4,Manager,4,Married,17650,5404,3,1,0,13,3,2,80,1,26,4,4,9,3,1,1
2227,0,32,Non-Travel,1109,Research & Development,29,4,Medical,4,Female,69,3,1,Laboratory Technician,3,Single,4025,11135,9,1,0,12,3,2,80,0,10,2,3,8,7,7,7
2228,0,34,Travel_Rarely,216,Sales,1,4,Marketing,2,Male,75,4,2,Sales Executive,4,Divorced,9725,12278,0,1,0,11,3,4,80,1,16,2,2,15,1,0,9
2229,0,59,Travel_Rarely,1089,Sales,1,2,Technical Degree,2,Male,66,3,3,Manager,4,Married,11904,11038,3,1,1,14,3,3,80,1,14,1,1,6,4,0,4
2230,0,45,Travel_Rarely,788,Human Resources,24,4,Medical,2,Male,36,3,1,Human Resources,2,Single,2177,8318,1,1,0,16,3,1,80,0,6,3,3,6,3,0,4
2231,0,53,Travel_Frequently,124,Sales,2,3,Marketing,3,Female,38,2,3,Sales Executive,2,Married,7525,23537,2,1,0,12,3,1,80,1,30,2,3,15,7,6,12
2232,1,36,Travel_Rarely,660,Research & Development,15,3,Other,1,Male,81,3,2,Laboratory Technician,3,Divorced,4834,7858,7,1,0,14,3,2,80,1,9,3,2,1,0,0,0
2233,1,26,Travel_Frequently,342,Research & Development,2,3,Life Sciences,1,Male,57,3,1,Research Scientist,1,Married,2042,15346,6,1,1,14,3,2,80,1,6,2,3,3,2,1,2
2234,0,34,Travel_Rarely,1333,Sales,10,4,Life Sciences,3,Female,87,3,1,Sales Representative,3,Married,2220,18410,1,1,1,19,3,4,80,1,1,2,3,1,1,0,0
2235,0,28,Travel_Rarely,1144,Sales,10,1,Medical,4,Male,74,3,1,Sales Representative,2,Married,1052,23384,1,1,0,22,4,2,80,0,1,5,3,1,0,0,0
2236,0,38,Travel_Frequently,1186,Research & Development,3,4,Other,3,Male,44,3,1,Research Scientist,3,Married,2821,2997,3,1,0,16,3,1,80,1,8,2,3,2,2,2,2
2237,0,50,Travel_Rarely,1464,Research & Development,2,4,Medical,2,Male,62,3,5,Research Director,3,Married,19237,12853,2,1,1,11,3,4,80,1,29,2,2,8,1,7,7
2238,0,37,Travel_Rarely,124,Research & Development,3,3,Other,4,Female,35,3,2,Healthcare Representative,2,Single,4107,13848,3,1,0,15,3,1,80,0,8,3,2,4,3,0,1
2239,0,40,Travel_Rarely,300,Sales,26,3,Marketing,3,Male,74,3,2,Sales Executive,1,Married,8396,22217,1,1,0,14,3,2,80,1,8,3,2,7,7,7,5
2240,0,26,Travel_Frequently,921,Research & Development,1,1,Medical,1,Female,66,2,1,Research Scientist,3,Divorced,2007,25265,1,1,0,13,3,3,80,2,5,5,3,5,3,1,3
2241,0,46,Travel_Rarely,430,Research & Development,1,4,Medical,4,Male,40,3,5,Research Director,4,Divorced,19627,21445,9,1,0,17,3,4,80,2,23,0,3,2,2,2,2
2242,0,54,Travel_Rarely,1082,Sales,2,4,Life Sciences,3,Female,41,2,3,Sales Executive,3,Married,10686,8392,6,1,0,11,3,2,80,1,13,4,3,9,4,7,0
2243,0,56,Travel_Frequently,1240,Research & Development,9,3,Medical,1,Female,63,3,1,Research Scientist,3,Married,2942,12154,2,1,0,19,3,2,80,1,18,4,3,5,4,0,3
2244,0,36,Travel_Rarely,796,Research & Development,12,5,Medical,4,Female,51,2,3,Manufacturing Director,4,Single,8858,15669,0,1,0,11,3,2,80,0,15,2,2,14,8,7,8
2245,0,55,Non-Travel,444,Research & Development,2,1,Medical,3,Male,40,2,4,Manager,1,Single,16756,17323,7,1,0,15,3,2,80,0,31,3,4,9,7,6,2
2246,0,43,Travel_Rarely,415,Sales,25,3,Medical,3,Male,79,2,3,Sales Executive,4,Divorced,10798,5268,5,1,0,13,3,3,80,1,18,5,3,1,0,0,0
2247,1,20,Travel_Frequently,769,Sales,9,3,Marketing,4,Female,54,3,1,Sales Representative,4,Single,2323,17205,1,1,1,14,3,2,80,0,2,3,3,2,2,0,2
2248,1,21,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,3,Female,36,2,1,Laboratory Technician,1,Single,1416,17258,1,1,0,13,3,1,80,0,1,6,2,1,0,1,0
2249,0,46,Travel_Rarely,1003,Research & Development,8,4,Life Sciences,4,Female,74,2,2,Research Scientist,1,Divorced,4615,21029,8,1,1,23,4,1,80,3,19,2,3,16,13,1,7
2250,1,51,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,1,1,12,3,3,80,3,18,2,4,10,0,2,7
2251,1,28,Non-Travel,1366,Research & Development,24,2,Technical Degree,2,Male,72,2,3,Healthcare Representative,1,Single,8722,12355,1,1,0,12,3,1,80,0,10,2,2,10,7,1,9
2252,0,26,Travel_Rarely,192,Research & Development,1,2,Medical,1,Male,59,2,1,Laboratory Technician,1,Married,3955,11141,1,1,0,16,3,1,80,2,6,2,3,5,3,1,3
2253,0,30,Travel_Rarely,1176,Research & Development,20,3,Other,3,Male,85,3,2,Manufacturing Director,1,Married,9957,9096,0,1,0,15,3,3,80,1,7,1,2,6,2,0,2
2254,0,41,Travel_Rarely,509,Research & Development,7,2,Technical Degree,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,1,0,13,3,3,80,0,10,3,3,10,6,0,8
2255,0,38,Travel_Rarely,330,Research & Development,17,1,Life Sciences,3,Female,65,2,3,Healthcare Representative,3,Married,8823,24608,0,1,0,18,3,1,80,1,20,4,2,19,9,1,9
